,Height above sea level,Lines,Bakerloo,,Central,,District,,Hammersmith & City,,Jubilee,,Metropolitan,,Northern,,Piccadilly,,Victoria,,Circle,,Waterloo & City,,Elizabeth Line,
Station Name,Ground Level outside Station,,Northbound,Southbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound
Knightsbridge ,9,PIC, , , , , , , , , , , , , , ,86.7,86.7, , ,,, , ,,
Ladbroke Grove ,14,H&C;CIR, , , , , , ,119.4,119.4, , , , , , , , , , ,119.4,119.4, , ,,
Lambeth North ,3,BAK,86.7,86.3, , , , , , , , , , , , , , , , ,,, , ,,
Lancaster Gate ,18,CEN, , ,102.5,102.5, , , , , , , , , , , , , , ,,, , ,,
Latimer Road ,8,H&C;CIR, , , , , , ,114,114, , , , , , , , , , ,114,114, , ,,
Leicester Square ,20,NOR;PIC, , , , , , , , , , , , ,93.5,93.5,86.8,86.8, , ,,, , ,,
Leyton ,15,CEN, , ,110,110, , , , , , , , , , , , , , ,,, , ,,
Leytonstone ,23.2,CEN, , ,123.1,123.1, , , , , , , , , , , , , , ,,, , ,,
Liverpool Street ,14,MET;H&C;CIR;CEN;EL, , ,92.5,92.5, , ,107.4,107.4, , ,107.4,107.4, , , , , , ,107.4,107.4, , ,66,66
London Bridge ,4,NOR;JUB, , , , , , , , ,76.8,76.8, , ,80.4,80.4, , , , ,,, , ,,
Loughton ,27,CEN, , ,129.6,129.6, , , , , , , , , , , , , , ,,, , ,,
Maida Vale ,31,BAK,116.6,116.6, , , , , , , , , , , , , , , , ,,, , ,,
Manor House ,38,PIC, , , , , , , , , , , , , , ,119.5,119.5, , ,,, , ,,
Mansion House ,14,DIS;CIR, , , , ,105,105, , , , , , , , , , , , ,105,105, , ,,
